web-scraper-order,web-scraper-start-url,containers,containers-href,type chaussures,prix,adresse,image -src
"1739299566-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1739299568-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1739299571-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661","Claquettes enfant","1 250 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1739299573-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299575-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299578-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299580-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299582-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299585-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1739299587-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881","Chaussures enfant","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
