type habits,prix,adresse,img_link
Djialabé enfant,8000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg
Djialap pour enfant de 4ans jusqua 18ans,6500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg
Dialabé enfant,10000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg
Vetement  enfants,8500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg
Veste doudoune,2500.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5187259_uploaded_image1_1739637530.jpg
Ensemble mardi gras,8000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg
Ensemble pour enfant de 1ans jusqua 15ans,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg
Vêtement enfant,1000.0,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg
Vêtements enfants,4500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg
Vêtements enfants,4500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129146_uploaded_image1_1736533355.jpg
Genouillère anti-dérapante en coton,6000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5120586_uploaded_image1_1736107643.jpg
Ensemble pour enfant,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg
Vêtements bébé,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg
Vêtements bébé,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106673_uploaded_image1_1735128585.jpg
Vêtements bébé,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106669_uploaded_image1_1735128475.jpg
Vêtements bébé,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106661_uploaded_image1_1735128299.jpg
Blouson pour enfant,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg
Blouson pour enfants 100% coton 3 ans 9ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Blouson  pour enfants 3ans à 10ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg
Blouson coton pour enfants de 1ans 8ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg
Blouson pour enfants 4ans à 15ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg
Blouson pour enfants de 4ans à 12ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg
Blouson pour enfants 1ans 5 ans,5000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg
Blouson pour enfants 3 ans à 8 ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg
Ensemble Pul Enfants,18000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg
Ensemble costumes enfants,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg
robe princesse 10ans,6000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5079189_uploaded_image1_1733486786.jpg
